年月,前年同月比
1971/01,6.5
1971/02,6.0
1971/03,5.3
1971/04,5.8
1971/05,6.4
1971/06,6.9
1971/07,6.9
1971/08,7.0
1971/09,8.0
1971/10,6.5
1971/11,5.5
1971/12,4.8
1972/01,4.1
1972/02,4.5
1972/03,5.3
1972/04,5.0
1972/05,5.2
1972/06,4.8
1972/07,5.0
1972/08,5.9
1972/09,3.9
1972/10,4.4
1972/11,5.1
1972/12,5.7
1973/01,6.7
1973/02,7.0
1973/03,8.7
1973/04,9.4
1973/05,10.8
1973/06,11.0
1973/07,11.7
1973/08,11.9
1973/09,14.2
1973/10,13.9
1973/11,15.2
1973/12,18.3
1974/01,21.9
1974/02,24.9
1974/03,22.8
1974/04,23.7
1974/05,22.0
1974/06,22.3
1974/07,23.8
1974/08,23.9
1974/09,22.5
1974/10,24.8
1974/11,24.5
1974/12,21.0
1975/01,16.8
1975/02,13.6
1975/03,13.9
1975/04,13.4
1975/05,14.0
1975/06,13.4
1975/07,11.4
1975/08,10.2
1975/09,10.4
1975/10,9.7
1975/11,8.3
1975/12,7.8
1976/01,8.7
1976/02,9.3
1976/03,8.7
1976/04,9.4
1976/05,9.2
1976/06,9.6
1976/07,9.9
1976/08,9.4
1976/09,9.8
1976/10,8.7
1976/11,9.2
1976/12,10.5
1977/01,9.4
1977/02,9.3
1977/03,9.5
1977/04,8.8
1977/05,9.4
1977/06,8.6
1977/07,7.7
1977/08,8.6
1977/09,7.7
1977/10,7.6
1977/11,6.5
1977/12,5.0
1978/01,4.5
1978/02,4.5
1978/03,4.8
1978/04,4.2
1978/05,3.9
1978/06,3.9
1978/07,4.6
1978/08,4.6
1978/09,4.1
1978/10,3.7
1978/11,3.8
1978/12,3.9
1979/01,3.6
1979/02,2.8
1979/03,2.7
1979/04,2.9
1979/05,3.2
1979/06,3.8
1979/07,4.3
1979/08,3.1
1979/09,3.2
1979/10,4.2
1979/11,5.0
1979/12,5.6
1980/01,6.4
1980/02,7.7
1980/03,7.7
1980/04,8.1
1980/05,8.0
1980/06,8.2
1980/07,7.5
1980/08,8.4
1980/09,8.7
1980/10,7.5
1980/11,8.0
1980/12,6.9
1981/01,7.2
1981/02,6.3
1981/03,6.1
1981/04,5.0
1981/05,5.0
1981/06,4.8
1981/07,4.4
1981/08,4.2
1981/09,4.0
1981/10,4.2
1981/11,3.8
1981/12,4.3
1982/01,3.3
1982/02,3.2
1982/03,3.0
1982/04,3.0
1982/05,2.5
1982/06,2.3
1982/07,1.9
1982/08,3.2
1982/09,3.2
1982/10,3.1
1982/11,2.3
1982/12,2.0
1983/01,2.1
1983/02,2.0
1983/03,2.3
1983/04,2.1
1983/05,2.7
1983/06,2.0
1983/07,2.3
1983/08,1.3
1983/09,0.9
1983/10,1.5
1983/11,1.9
1983/12,1.7
1984/01,1.9
1984/02,2.9
1984/03,2.5
1984/04,2.3
1984/05,2.0
1984/06,1.9
1984/07,2.5
1984/08,1.9
1984/09,2.3
1984/10,2.2
1984/11,2.2
1984/12,2.6
1985/01,2.9
1985/02,1.5
1985/03,1.8
1985/04,2.0
1985/05,1.8
1985/06,2.5
1985/07,2.4
1985/08,2.3
1985/09,1.7
1985/10,2.3
1985/11,1.9
1985/12,1.9
1986/01,1.5
1986/02,1.8
1986/03,1.3
1986/04,1.0
1986/05,1.1
1986/06,0.6
1986/07,0.1
1986/08,0.1
1986/09,0.5
1986/10,-0.3
1986/11,0.0
1986/12,-0.3
1987/01,-1.1
1987/02,-1.0
1987/03,-0.5
1987/04,0.1
1987/05,0.0
1987/06,0.3
1987/07,0.1
1987/08,0.4
1987/09,0.8
1987/10,0.7
1987/11,0.7
1987/12,0.8
1988/01,0.9
1988/02,0.7
1988/03,0.7
1988/04,0.3
1988/05,0.2
1988/06,0.2
1988/07,0.5
1988/08,0.7
1988/09,0.6
1988/10,1.1
1988/11,1.2
1988/12,1.0
1989/01,1.1
1989/02,1.0
1989/03,1.1
1989/04,2.4
1989/05,2.9
1989/06,3.0
1989/07,3.0
1989/08,2.6
1989/09,2.6
1989/10,2.9
1989/11,2.3
1989/12,2.6
1990/01,3.0
1990/02,3.6
1990/03,3.5
1990/04,2.5
1990/05,2.7
1990/06,2.2
1990/07,2.3
1990/08,2.9
1990/09,3.0
1990/10,3.5
1990/11,4.2
1990/12,3.8
1991/01,4.0
1991/02,3.6
1991/03,3.6
1991/04,3.4
1991/05,3.4
1991/06,3.4
1991/07,3.5
1991/08,3.3
1991/09,2.7
1991/10,2.7
1991/11,3.1
1991/12,2.7
1992/01,1.8
1992/02,2.0
1992/03,2.0
1992/04,2.4
1992/05,2.0
1992/06,2.3
1992/07,1.7
1992/08,1.7
1992/09,2.0
1992/10,1.1
1992/11,0.7
1992/12,1.2
1993/01,1.3
1993/02,1.4
1993/03,1.2
1993/04,0.9
1993/05,0.9
1993/06,0.9
1993/07,1.9
1993/08,1.9
1993/09,1.5
1993/10,1.3
1993/11,0.9
1993/12,1.0
1994/01,1.2
1994/02,1.1
1994/03,1.3
1994/04,0.8
1994/05,0.8
1994/06,0.6
1994/07,-0.2
1994/08,0.0
1994/09,0.2
1994/10,0.7
1994/11,1.0
1994/12,0.7
1995/01,0.6
1995/02,0.2
1995/03,-0.4
1995/04,-0.2
1995/05,0.0
1995/06,0.3
1995/07,0.1
1995/08,-0.2
1995/09,0.2
1995/10,-0.6
1995/11,-0.7
1995/12,-0.3
1996/01,-0.5
1996/02,-0.4
1996/03,-0.1
1996/04,0.2
1996/05,0.2
1996/06,0.0
1996/07,0.4
1996/08,0.2
1996/09,0.0
