年月,指数
1970/01,30.8
1970/02,30.9
1970/03,31.2
1970/04,31.5
1970/05,31.2
1970/06,31.2
1970/07,31.1
1970/08,31.0
1970/09,31.5
1970/10,32.2
1970/11,32.2
1970/12,32.5
1971/01,32.7
1971/02,32.7
1971/03,32.7
1971/04,33.1
1971/05,33.1
1971/06,33.4
1971/07,33.3
1971/08,33.1
1971/09,34.3
1971/10,34.3
1971/11,34.0
1971/12,34.0
1972/01,34.1
1972/02,34.2
1972/03,34.5
1972/04,34.8
1972/05,35.1
1972/06,35.2
1972/07,35.3
1972/08,35.6
1972/09,35.9
1972/10,36.0
1972/11,36.1
1972/12,36.4
1973/01,36.9
1973/02,37.1
1973/03,37.9
1973/04,38.4
1973/05,39.1
1973/06,39.3
1973/07,39.5
1973/08,39.9
1973/09,40.8
1973/10,40.7
1973/11,41.1
1973/12,42.2
1974/01,43.8
1974/02,45.1
1974/03,45.6
1974/04,46.8
1974/05,46.8
1974/06,47.2
1974/07,48.1
1974/08,48.5
1974/09,49.3
1974/10,50.4
1974/11,50.8
1974/12,51.1
1975/01,51.6
1975/02,51.6
1975/03,52.2
1975/04,53.1
1975/05,53.5
1975/06,53.5
1975/07,53.5
1975/08,53.5
1975/09,54.8
1975/10,55.6
1975/11,55.4
1975/12,55.4
1976/01,56.6
1976/02,57.0
1976/03,57.2
1976/04,58.5
1976/05,58.6
1976/06,58.5
1976/07,58.9
1976/08,58.3
1976/09,59.8
1976/10,60.4
1976/11,60.6
1976/12,61.2
1977/01,61.9
1977/02,62.3
1977/03,62.5
1977/04,63.4
1977/05,64.0
1977/06,63.7
1977/07,63.7
1977/08,63.9
1977/09,64.8
1977/10,65.2
1977/11,64.6
1977/12,64.5
1978/01,65.0
1978/02,65.4
1978/03,66.0
1978/04,66.9
1978/05,67.3
1978/06,66.5
1978/07,67.1
1978/08,67.1
1978/09,68.0
1978/10,68.2
1978/11,67.4
1978/12,67.5
1979/01,67.7
1979/02,67.4
1979/03,68.0
1979/04,68.8
1979/05,69.4
1979/06,69.1
1979/07,69.9
1979/08,69.0
1979/09,70.0
1979/10,71.0
1979/11,70.7
1979/12,71.0
1980/01,71.8
1980/02,72.0
1980/03,72.5
1980/04,73.7
1980/05,74.4
1980/06,74.7
1980/07,74.8
1980/08,74.5
1980/09,75.6
1980/10,75.8
1980/11,75.9
1980/12,75.7
1981/01,76.4
1981/02,76.5
1981/03,76.8
1981/04,77.2
1981/05,78.0
1981/06,78.2
1981/07,78.0
1981/08,77.3
1981/09,78.6
1981/10,78.7
1981/11,78.9
1981/12,79.0
1982/01,79.1
1982/02,79.1
1982/03,79.2
1982/04,79.9
1982/05,80.1
1982/06,80.2
1982/07,79.7
1982/08,80.3
1982/09,81.5
1982/10,81.7
1982/11,80.7
1982/12,80.8
1983/01,81.1
1983/02,80.8
1983/03,81.2
1983/04,81.6
1983/05,82.3
1983/06,81.7
1983/07,81.7
1983/08,81.4
1983/09,82.3
1983/10,82.9
1983/11,82.9
1983/12,82.4
1984/01,82.9
1984/02,83.5
1984/03,83.7
1984/04,84.0
1984/05,84.3
1984/06,83.5
1984/07,83.7
1984/08,83.1
1984/09,84.3
1984/10,84.8
1984/11,84.6
1984/12,84.7
1985/01,85.3
1985/02,84.9
1985/03,85.4
1985/04,85.9
1985/05,86.0
1985/06,86.0
1985/07,86.4
1985/08,86.0
1985/09,86.2
1985/10,86.8
1985/11,86.2
1985/12,86.3
1986/01,86.7
1986/02,86.7
