年月,前年同月比,指数
1970/01,,30.8
1970/02,,30.9
1970/03,,31.2
1970/04,,31.5
1970/05,,31.2
1970/06,,31.2
1970/07,,31.1
1970/08,,31.0
1970/09,,31.5
1970/10,,32.2
1970/11,,32.2
1970/12,,32.5
1971/01,6.2,32.7
1971/02,5.6,32.7
1971/03,4.6,32.7
1971/04,5.4,33.1
1971/05,5.9,33.1
1971/06,7.2,33.4
1971/07,7.2,33.3
1971/08,6.7,33.1
1971/09,8.6,34.3
1971/10,6.4,34.3
1971/11,5.8,34.0
1971/12,4.9,34.0
1972/01,4.2,34.1
1972/02,4.7,34.2
1972/03,5.4,34.5
1972/04,5.0,34.8
1972/05,6.0,35.1
1972/06,5.1,35.2
1972/07,5.9,35.3
1972/08,7.6,35.6
1972/09,4.9,35.9
1972/10,5.0,36.0
1972/11,5.9,36.1
1972/12,7.0,36.4
1973/01,8.0,36.9
1973/02,8.5,37.1
1973/03,10.0,37.9
1973/04,10.5,38.4
1973/05,11.5,39.1
1973/06,11.6,39.3
1973/07,12.1,39.5
1973/08,12.1,39.9
1973/09,13.6,40.8
1973/10,12.8,40.7
1973/11,13.8,41.1
1973/12,15.7,42.2
1974/01,19.0,43.8
1974/02,21.6,45.1
1974/03,20.1,45.6
1974/04,21.8,46.8
1974/05,19.9,46.8
1974/06,20.2,47.2
1974/07,21.5,48.1
1974/08,21.4,48.5
1974/09,20.7,49.3
1974/10,24.0,50.4
1974/11,23.7,50.8
1974/12,21.0,51.1
1975/01,16.9,51.6
1975/02,13.9,51.6
1975/03,14.0,52.2
1975/04,13.6,53.1
1975/05,14.7,53.5
1975/06,14.1,53.5
1975/07,12.0,53.5
1975/08,10.9,53.5
1975/09,11.0,54.8
1975/10,10.2,55.6
1975/11,8.8,55.4
1975/12,8.1,55.4
1976/01,9.7,56.6
1976/02,10.5,57.0
1976/03,9.9,57.2
1976/04,10.1,58.5
1976/05,9.5,58.6
1976/06,9.4,58.5
1976/07,9.8,58.9
1976/08,9.0,58.3
1976/09,9.3,59.8
1976/10,8.7,60.4
1976/11,9.5,60.6
1976/12,10.6,61.2
1977/01,9.5,61.9
1977/02,9.2,62.3
1977/03,9.1,62.5
1977/04,8.4,63.4
1977/05,9.2,64.0
1977/06,8.9,63.7
1977/07,8.2,63.7
1977/08,9.6,63.9
1977/09,8.3,64.8
1977/10,8.0,65.2
1977/11,6.6,64.6
1977/12,5.5,64.5
1978/01,5.0,65.0
1978/02,5.0,65.4
1978/03,5.6,66.0
1978/04,5.3,66.9
1978/05,5.0,67.3
1978/06,4.5,66.5
1978/07,5.4,67.1
1978/08,5.0,67.1
1978/09,4.9,68.0
1978/10,4.5,68.2
1978/11,4.3,67.4
1978/12,4.5,67.5
1979/01,4.2,67.7
1979/02,3.0,67.4
1979/03,3.0,68.0
1979/04,3.0,68.8
1979/05,3.1,69.4
1979/06,3.9,69.1
1979/07,4.2,69.9
1979/08,2.9,69.0
1979/09,2.9,70.0
1979/10,4.2,71.0
1979/11,4.9,70.7
1979/12,5.2,71.0
1980/01,6.1,71.8
1980/02,7.2,72.0
1980/03,6.9,72.5
1980/04,7.3,73.7
1980/05,7.3,74.4
1980/06,7.7,74.7
1980/07,6.8,74.8
1980/08,8.0,74.5
1980/09,8.1,75.6
1980/10,6.7,75.8
1980/11,7.3,75.9
1980/12,6.5,75.7
1981/01,6.5,76.4
1981/02,6.3,76.5
1981/03,6.1,76.8
1981/04,4.6,77.2
1981/05,4.8,78.0
