,0,1,2
0,,コールレート（月次）,コールレート（月次）
1,系列名称,無担保コールレート・Ｏ／Ｎ　月末／金利,無担保コールレート・Ｏ／Ｎ　月平均／金利
2,データコード,FM02'STRECLUCON,FM02'STRACLUCON
3,単位,年％,年％
4,収録開始期,1985/07,1985/07
5,収録終了期,2025/10,2025/10
6,最終更新日,2025/11/06,2025/11/06
7,1985/07,6.4375,6.4167
8,1985/08,6.3125,6.2476
9,1985/09,6.9375,6.4972
10,1985/10,7.375,6.66
11,1985/11,7.75,7.4185
12,1985/12,9.0625,8.2425
13,1986/01,7,7.0455
14,1986/02,6.5,6.0256
15,1986/03,5.625,5.7552
16,1986/04,5.25,4.9661
17,1986/05,4.5,4.3984
18,1986/06,4.8125,4.5234
19,1986/07,4.8125,4.6298
20,1986/08,4.75,4.6771
21,1986/09,5,4.7585
22,1986/10,4.5,4.5365
23,1986/11,3.8125,3.9048
24,1986/12,4.5625,4.315
25,1987/01,5,4.3304
26,1987/02,4.0625,4.2768
27,1987/03,3.9375,3.9922
28,1987/04,3.75,3.7147
29,1987/05,3.25,3.2955
30,1987/06,3.625,3.3073
31,1987/07,3.3125,3.295
32,1987/08,3.5,3.3151
33,1987/09,3.8125,3.5142
34,1987/10,3.625,3.5
35,1987/11,3.75,3.5268
36,1987/12,4.125,3.9575
37,1988/01,4,3.6994
38,1988/02,4.0625,3.5852
39,1988/03,5,3.7734
40,1988/04,3.5625,3.4946
41,1988/05,3.5,3.4643
42,1988/06,3.8125,3.5938
43,1988/07,3.9375,3.8646
44,1988/08,4.1875,3.98
45,1988/09,5,4.0852
46,1988/10,4.5625,4.1712
47,1988/11,3.875,3.9432
48,1988/12,4.375,4.3625
49,1989/01,4.4375,4.09375
50,1989/02,4.5625,4.17928
51,1989/03,4.5,4.25426
52,1989/04,4.46875,4.42031
53,1989/05,4.96875,4.675
54,1989/06,5.25,5.13778
55,1989/07,5.34375,5.2247
56,1989/08,5.53125,5.38043
57,1989/09,5.78125,5.43125
58,1989/10,6.3125,6.00893
59,1989/11,6.46875,6.15156
60,1989/12,6.65625,6.44792
61,1990/01,6.625,6.58059
62,1990/02,6.75,6.64309
63,1990/03,6.875,6.81696
64,1990/04,7.3125,7.1625
65,1990/05,7.4375,7.25893
66,1990/06,7.59375,7.36458
67,1990/07,7.5625,7.52415
68,1990/08,7.78125,7.54348
69,1990/09,8.15625,7.76316
70,1990/10,8,7.81108
71,1990/11,8.28125,8.07656
72,1990/12,8.34375,8.22969
73,1991/01,8.0625,8.05428
74,1991/02,8.28125,8.12007
75,1991/03,8.5625,8.27813
76,1991/04,8.21875,8.23363
77,1991/05,8.03125,8.03274
78,1991/06,8.09375,8.04063
79,1991/07,7.5,7.4606
80,1991/08,7.53125,7.48438
81,1991/09,7.09375,7.04934
82,1991/10,6.625,6.85795
83,1991/11,6.25,6.38281
84,1991/12,5.5625,6.30952
85,1992/01,5.625,5.52632
86,1992/02,5.71875,5.68257
87,1992/03,6.5,5.65327
88,1992/04,4.8125,4.76637
89,1992/05,4.78125,4.74507
90,1992/06,4.75,4.75284
91,1992/07,4.09375,4.53125
92,1992/08,4.1875,4.11905
93,1992/09,5.5,4.22656
94,1992/10,4,4.07386
95,1992/11,3.90625,3.94572
96,1992/12,3.90625,3.89489
97,1993/01,3.875,3.89967
98,1993/02,3.21875,3.27632
99,1993/03,4.5,3.24185
100,1993/04,3.25,3.17857
101,1993/05,3.21875,3.2066
102,1993/06,3.3125,3.21429
103,1993/07,3.3125,3.26278
104,1993/08,3.03125,3.12926
105,1993/09,3.09375,2.85781
106,1993/10,2.5,2.50781
107,1993/11,2.40625,2.49531
108,1993/12,2.4375,2.44196
109,1994/01,2.28125,2.33125
110,1994/02,2.21875,2.24013
111,1994/03,4.5,2.25
112,1994/04,2.21875,2.175
113,1994/05,2.09375,2.09046
114,1994/06,2.09375,2.0625
115,1994/07,2.125,2.08185
116,1994/08,2.15625,2.13043
117,1994/09,2.375,2.18906
118,1994/10,2.28125,2.2375
119,1994/11,2.28125,2.26719
120,1994/12,2.28125,2.29315
121,1995/01,2.25,2.25
122,1995/02,2.21875,2.21719
123,1995/03,1.75,2.18892
124,1995/04,1.3125,1.525
125,1995/05,1.32,1.31
126,1995/06,1.27,1.28
127,1995/07,0.84,0.95
128,1995/08,0.86,0.88
129,1995/09,0.53,0.57
130,1995/10,0.47,0.47
131,1995/11,0.47,0.46
132,1995/12,0.46,0.46
133,1996/01,0.49,0.47
134,1996/02,0.46,0.46
135,1996/03,0.49,0.46
136,1996/04,0.5,0.49
137,1996/05,0.49,0.47
138,1996/06,0.47,0.47
139,1996/07,0.5,0.48
140,1996/08,0.47,0.44
141,1996/09,0.52,0.47
142,1996/10,0.49,0.48
143,1996/11,0.48,0.48
144,1996/12,0.44,0.49
145,1997/01,0.48,0.48
146,1997/02,0.47,0.5
147,1997/03,0.72,0.51
148,1997/04,0.53,0.5
149,1997/05,0.5,0.49
150,1997/06,0.52,0.5
151,1997/07,0.5,0.49
152,1997/08,0.51,0.48
153,1997/09,0.65,0.5
154,1997/10,0.48,0.48
155,1997/11,0.39,0.49
156,1997/12,0.47,0.39
157,1998/01,0.48,0.44
158,1998/02,0.47,0.43
159,1998/03,0.7,0.43
160,1998/04,0.46,0.44
161,1998/05,0.47,0.43
162,1998/06,0.34,0.44
163,1998/07,0.46,0.41
164,1998/08,0.45,0.43
165,1998/09,0.47,0.32
166,1998/10,0.33,0.24
167,1998/11,0.3,0.2
168,1998/12,0.32,0.25
169,1999/01,0.24,0.23
170,1999/02,0.1,0.18
171,1999/03,0.05,0.04
172,1999/04,0.03,0.03
173,1999/05,0.03,0.03
174,1999/06,0.03,0.03
175,1999/07,0.03,0.03
176,1999/08,0.03,0.03
177,1999/09,0.05,0.03
178,1999/10,0.02,0.02
179,1999/11,0.02,0.03
180,1999/12,0.05,0.02
181,2000/01,0.02,0.02
182,2000/02,0.05,0.03
183,2000/03,0.04,0.02
184,2000/04,0.02,0.02
185,2000/05,0.03,0.02
186,2000/06,0.03,0.02
187,2000/07,0.02,0.02
188,2000/08,0.25,0.16
189,2000/09,0.28,0.25
190,2000/10,0.25,0.25
191,2000/11,0.26,0.25
192,2000/12,0.2,0.24
193,2001/01,0.25,0.25
194,2001/02,0.26,0.25
195,2001/03,0.12,0.11
196,2001/04,0.02,0.02
197,2001/05,0.03,0.02
198,2001/06,0.06,0.02
199,2001/07,0.02,0.01
200,2001/08,0.01,0.01
201,2001/09,0.003,0.005
202,2001/10,0.003,0.003
203,2001/11,0.003,0.002
204,2001/12,0.002,0.002
205,2002/01,0.001,0.001
206,2002/02,0.001,0.001
207,2002/03,0.012,0.002
208,2002/04,0.002,0.001
209,2002/05,0.002,0.001
210,2002/06,0.002,0.001
211,2002/07,0.001,0.002
212,2002/08,0.002,0.002
213,2002/09,0.067,0.005
214,2002/10,0.002,0.002
215,2002/11,0.002,0.002
216,2002/12,0.002,0.002
217,2003/01,0.001,0.002
218,2003/02,0.001,0.001
219,2003/03,0.021,0.002
220,2003/04,0.002,0.001
221,2003/05,0.002,0.001
222,2003/06,0.001,0.001
223,2003/07,0.002,0.002
224,2003/08,0.001,0.001
225,2003/09,0.013,0.002
226,2003/10,0.002,0.001
227,2003/11,0.001,0.001
228,2003/12,0.001,0.001
229,2004/01,0.001,0
230,2004/02,0.001,0.001
231,2004/03,0.005,0.001
232,2004/04,0.001,0
233,2004/05,0.002,0.001
234,2004/06,0.002,0.001
235,2004/07,0.001,0
236,2004/08,0.001,0.001
237,2004/09,0.005,0.001
238,2004/10,0.002,0.001
239,2004/11,0.001,0.001
240,2004/12,0.002,0.001
241,2005/01,0.001,0.001
242,2005/02,0.001,0.001
