年,指数,前年比
1970,65.4,
1971,66.8,2.2
1972,67.3,0.8
1973,67.7,0.6
1974,67.8,0.2
1975,66.7,-1.6
1976,66.7,0.0
1977,67.6,1.3
1978,68.0,0.5
1979,68.8,1.3
1980,70.0,1.5
1981,71.2,1.8
1982,72.1,1.1
1983,72.2,0.2
1984,72.6,0.7
1985,73.4,1.0
1986,74.0,0.8
1987,74.5,0.5
1988,75.7,1.7
1989,77.6,2.6
1990,80.1,3.1
1991,82.7,3.2
1992,84.4,2.2
1993,85.4,1.1
1994,85.5,0.0
1995,85.0,-0.6
1996,84.6,-0.4
1997,85.2,0.6
1998,85.7,0.5
1999,85.2,-0.5
2000,84.4,-0.8
2001,83.7,-0.9
2002,82.6,-1.4
2003,81.8,-0.9
2004,82.2,0.6
2005,82.9,0.8
2006,83.7,1.0
2007,86.0,2.8
2008,88.8,3.1
2009,89.9,1.3
2010,90.1,0.2
2011,90.6,0.6
2012,90.8,0.3
2013,91.2,0.4
2014,92.0,0.9
2015,93.0,1.1
2016,93.9,1.0
2017,95.9,2.1
2018,97.0,1.1
2019,98.9,2.0
2020,100.0,1.1
2021,100.3,0.3
2022,99.7,-0.6
2023,100.4,0.8
2024,101.6,1.2
2025,102.5,0.9
